Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(6 PACK) - Rude/H Organic Coconut Drink| 1 Ltr |6 PACK - SUPER SAVER - SAVE MONEY,B012XFQLD4,Rude Health,20.04,1,20.04,"1,14,791",8.35,3,4.9,28,2,0,Best4Deals,Fresh & Chilled,Large Oversize,MFN,8.3x9.2x6.2,14.59,29-07-2015
(6 Pack) Elephant Atta Chapati (6 Pack x 8 Chapatis),B07LCRD5WV,ELEPHANT ATTA,14.97,46,688.62,"41,584",,2,4.3,58,1,0,One2Shops UK,Frozen,,MFN,,,14-12-2018
(6 Pack) Elephant Atta Chapati (6 Pack x 8 Chapatis),B07LCRD5WV,ELEPHANT ATTA,14.97,46,688.62,"41,584",,2,4.3,58,1,0,One2Shops UK,Frozen,,MFN,,,14-12-2018
(6 Pack) LIMCA CAN- 6X300ML,B07LCTSPT2,LIMCA,9.99,10,99.9,"58,311",4.95,6,4.2,11,2,0,Supersupermarket,Fresh & Chilled,Large Oversize,MFN,9.2x12.3x3.0,4.61,14-12-2018
(Full Case of 24) LIMCA CAN- 24X300ML,B07LCSV1Y3,LIMCA,24.99,46,"1,149.54","26,543",9.13,7,4.5,29,1,0,Saras Foods UK,Fresh & Chilled,Large Oversize,MFN,9.7x14.3x5.6,17.91,14-12-2018
(Full Case of 24) THUMPS UP CAN- 24X300ML,B07LCRSDH3,Thums Up,29.00,26,754,"23,219",9.91,3,4.4,34,1,0,Pound Veg,Frozen,Large Oversize,MFN,9.5x14.3x5.5,17.68,14-12-2018
(Pack Of 10) Ginger Kombucha | EQUINOX KOMBUCHA,B01A778C28,EQUINOX,,,,"2,04,930",,1,3.7,3,3,0,,Grocery,,MFN,,,05-01-2016
"(Pack of 12) Green Globe Aloe Vera Juice Drink 500 ml, Original Aloe Vera Juice for Hair and Skin 500 ml (Lychee Aloe Vera Drink)",B08PC3DTH7,GreenGlobe,17.99,85,"1,529.15","18,040",,1,4.4,34,5,1,Green Globe UK Ltd,Drinks,Large Oversize,FBA,10.2x14.0x9.1,16.09,30-11-2020
"(Pack of 12) Green Globe Aloe Vera Juice Drink 500 ml, Original Aloe Vera Juice for Hair and Skin 500 ml (Mango Aloe Vera Drink)",B08PFVSXWT,GreenGlobe,17.99,56,"1,007.44","25,394",8.02,1,4.6,21,7,2,Green Globe UK Ltd,Drinks,Large Oversize,FBA,3.9x3.9x3.5,15.17,30-11-2020
"(Pack of 12) Green Globe Aloe Vera Juice Drink 500 ml, Original Aloe Vera Juice for Hair and Skin 500 ml (Original Aloe Vera Drink)",B08PC4QQVQ,GreenGlobe,17.99,179,"3,220.21","9,453",8.02,1,4.5,52,7,3,Green Globe UK Ltd,Drinks,Large Oversize,FBA,8.4x9.8x7.4,14.84,30-11-2020
"(Pack of 12) Green Globe Aloe Vera Juice Drink 500 ml, Original Aloe Vera Juice for Hair and Skin 500 ml (Original Aloe Vera Drink)",B08PC4QQVQ,GreenGlobe,17.99,179,"3,220.21","9,453",8.02,1,4.5,52,7,3,Green Globe UK Ltd,Drinks,Large Oversize,FBA,8.4x9.8x7.4,14.84,30-11-2020
"(Pack of 12) Green Globe Aloe Vera Juice Drink 500 ml, Original Aloe Vera Juice for Hair and Skin 500 ml (Strawberry Aloe Vera Drink)",B08PC382BR,GreenGlobe,17.99,53,953.47,"30,166",8.17,1,4.3,39,6,1,Green Globe UK Ltd,Drinks,Large Oversize,FBA,8.7x9.9x7.4,16.6,30-11-2020
